platform_key,platform_label,section,command,description,type
netscaler,Citrix NetScaler,System & Status,show ns info,"Display core system information: NSIP, build version, platform type, uptime",show
netscaler,Citrix NetScaler,System & Status,show version,"Shows installed firmware version, build number, and kernel version",show
netscaler,Citrix NetScaler,System & Status,show ns hardware,"Hardware details: model, serial number, CPU count, memory",show
netscaler,Citrix NetScaler,System & Status,show ns license,Lists all installed feature licences and enabled features,show
netscaler,Citrix NetScaler,System & Status,show ns ip,"Lists all configured IPs: NSIP, SNIPs, VIPs, MIPs with types and states",show
netscaler,Citrix NetScaler,System & Status,show interface,"Status of all network interfaces: link state, speed, duplex, packet stats",show
netscaler,Citrix NetScaler,System & Status,show interface <slot/port>,Detailed stats for a specific interface e.g. show interface 0/1,show
netscaler,Citrix NetScaler,System & Status,show vlan,Lists all configured VLANs and bound interfaces,show
netscaler,Citrix NetScaler,System & Status,show route,"Routing table: static routes, directly connected networks, next hops",show
netscaler,Citrix NetScaler,System & Status,show arp,ARP table showing IP-to-MAC address mappings,show
netscaler,Citrix NetScaler,System & Status,show system cpu,Current CPU utilisation across all CPUs and packet engines,show
netscaler,Citrix NetScaler,System & Status,show system memory,"Current memory usage: total, used, and free",show
netscaler,Citrix NetScaler,System & Status,show system disk,Disk usage for the flash partition and other storage areas,show
netscaler,Citrix NetScaler,System & Status,show ns stats -detail,"Detailed global throughput, connection rate, and SSL transaction stats",show
netscaler,Citrix NetScaler,System & Status,show ns capacity,"Shows licensed capacity: max SSL throughput, connections, RPS",show
netscaler,Citrix NetScaler,Configuration Management,save config,Writes running config to /nsconfig/ns.conf — must run after any change,show
netscaler,Citrix NetScaler,Configuration Management,show config diff,Shows difference between saved config on disk and current running config,show
netscaler,Citrix NetScaler,Configuration Management,show saved config,Displays config as last saved to disk,show
netscaler,Citrix NetScaler,Configuration Management,clear config full,Wipes entire running config back to factory defaults — use with extreme caution,show
netscaler,Citrix NetScaler,Configuration Management,clear config basic,"Clears config but preserves network connectivity settings (NSIP, routes)",show
netscaler,Citrix NetScaler,Configuration Management,batch -f /nsconfig/<filename>,Executes a file of CLI commands in batch,show
netscaler,Citrix NetScaler,Configuration Management,export ns config -scope full -fileName <file>,Exports full running configuration for backup or transfer,show
netscaler,Citrix NetScaler,Configuration Management,import ns config -scope full -fileName <file>,Imports a previously exported configuration file,show
netscaler,Citrix NetScaler,Configuration Management,shell cat /nsconfig/ns.conf,Prints the raw ns.conf file content from the FreeBSD shell,show
netscaler,Citrix NetScaler,Configuration Management,create system backup <filename>,Creates full system backup (config + certs + licences) to /var/nsbackup/,show
netscaler,Citrix NetScaler,Configuration Management,restore system backup <filename>,Restores a previously created system backup,show
netscaler,Citrix NetScaler,Configuration Management,show techsupport,Generates a comprehensive technical support bundle to /var/tmp/support/,show
netscaler,Citrix NetScaler,Load Balancing,show lb vserver,"Lists all LB virtual servers: VIP, protocol, port, state, bound service count",show
netscaler,Citrix NetScaler,Load Balancing,show lb vserver <name>,Detailed config for a specific LB virtual server,show
netscaler,Citrix NetScaler,Load Balancing,add lb vserver <name> <protocol> <VIP> <port>,Creates a new load balancing virtual server,show
netscaler,Citrix NetScaler,Load Balancing,set lb vserver <name> -lbMethod <method>,"Changes the LB algorithm: ROUNDROBIN, LEASTCONNECTION, SOURCEIPHASH etc.",show
netscaler,Citrix NetScaler,Load Balancing,set lb vserver <name> -persistenceType <type>,"Configures session persistence: SOURCEIP, COOKIEINSERT, SSLSESSION",show
netscaler,Citrix NetScaler,Load Balancing,enable lb vserver <name>,Brings a disabled LB virtual server back into service,show
netscaler,Citrix NetScaler,Load Balancing,disable lb vserver <name>,Takes an LB virtual server out of service without deleting it,show
netscaler,Citrix NetScaler,Load Balancing,stat lb vserver <name>,Real-time traffic statistics for a specific LB virtual server,show
netscaler,Citrix NetScaler,Load Balancing,show service <name>,Config and health state of a specific back-end service,show
netscaler,Citrix NetScaler,Load Balancing,add service <name> <server-ip> <protocol> <port>,Creates a new back-end service,show
netscaler,Citrix NetScaler,Load Balancing,enable service <name>,Brings a disabled service back to UP state,show
netscaler,Citrix NetScaler,Load Balancing,disable service <name> -graceful YES -delay <seconds>,Gracefully drains connections from a service before disabling,show
netscaler,Citrix NetScaler,Load Balancing,bind lb vserver <vserver-name> <service-name>,Binds a back-end service to an LB virtual server,show
netscaler,Citrix NetScaler,Load Balancing,add servicegroup <name> <protocol>,Creates a service group (logical pool of servers),show
netscaler,Citrix NetScaler,Load Balancing,bind servicegroup <name> <server-ip> <port>,Adds a server as a member of a service group,show
netscaler,Citrix NetScaler,Load Balancing,"set lb monitor <monitor-name> -type HTTP -httpRequest ""GET /health""",Configures an HTTP health monitor with a custom request path,show
netscaler,Citrix NetScaler,Load Balancing,add lb monitor <name> TCP,Creates a basic TCP health monitor,show
netscaler,Citrix NetScaler,Load Balancing,show lb monitor <name>,"Displays monitor config, bound services, and last probe result",show
netscaler,Citrix NetScaler,Load Balancing,set lb vserver <name> -backupVServer <backup-name>,Configures a backup virtual server when all services are down,show
netscaler,Citrix NetScaler,Load Balancing,set lb vserver <name> -soMethod CONNECTION -soThreshold <num>,Configures spillover to backup when connection count exceeds threshold,show
netscaler,Citrix NetScaler,Content Switching,show cs vserver,"Lists all CS virtual servers: VIPs, protocols, states, policy counts",show
netscaler,Citrix NetScaler,Content Switching,add cs vserver <name> <protocol> <VIP> <port>,Creates a content switching virtual server,show
netscaler,Citrix NetScaler,Content Switching,add cs policy <name> -rule <expression>,Creates a CS policy using a NetScaler policy expression,show
netscaler,Citrix NetScaler,Content Switching,add cs action <name> -targetLBVserver <lb-vserver>,Creates a CS action directing traffic to an LB virtual server,show
netscaler,Citrix NetScaler,Content Switching,bind cs vserver <cs-vserver> -policyName <policy> -targetLBVserver <lb-vserver> -priority <num>,Binds a CS policy to a CS virtual server with priority,show
netscaler,Citrix NetScaler,Content Switching,stat cs vserver <name>,Real-time traffic statistics for a CS virtual server,show
netscaler,Citrix NetScaler,Content Switching,set cs vserver <name> -redirectURL <url>,Sets a redirect URL used when no policy matches on the CS vserver,show
netscaler,Citrix NetScaler,SSL Management,show ssl vserver <name>,"SSL config for a virtual server: bound certs, protocols, cipher suites, client auth",show
netscaler,Citrix NetScaler,SSL Management,show ssl certkey,"Lists all SSL cert-key pairs: names, file paths, expiry dates",show
netscaler,Citrix NetScaler,SSL Management,show ssl certkey <name>,"Detailed info for a cert-key pair: subject, issuer, validity dates, binding",show
netscaler,Citrix NetScaler,SSL Management,add ssl certkey <name> -cert <certfile> -key <keyfile>,Installs a new SSL cert-key pair from files in /nsconfig/ssl/,show
netscaler,Citrix NetScaler,SSL Management,update ssl certkey <name> -cert <certfile> -key <keyfile>,Replaces an existing cert-key pair without rebinding to virtual servers,show
netscaler,Citrix NetScaler,SSL Management,bind ssl vserver <vserver-name> -certkeyName <certkey-name>,Binds an SSL cert-key pair to a virtual server,show
netscaler,Citrix NetScaler,SSL Management,bind ssl vserver <vserver-name> -cipherName <cipher-group>,Applies a cipher group to an SSL virtual server,show
netscaler,Citrix NetScaler,SSL Management,set ssl vserver <name> -ssl3 DISABLED -tls1 DISABLED -tls11 DISABLED -tls12 ENABLED -tls13 ENABLED,Configure SSL/TLS protocol versions on a virtual server,show
netscaler,Citrix NetScaler,SSL Management,set ssl profile <name> -tls13 ENABLED,Enables TLS 1.3 on an SSL profile,show
netscaler,Citrix NetScaler,SSL Management,show ssl cipher <group-name>,Displays cipher suites in a cipher group in priority order,show
netscaler,Citrix NetScaler,SSL Management,create ssl rsakey <keyfile> <bits>,Generates a new RSA private key and saves to /nsconfig/ssl/,show
netscaler,Citrix NetScaler,SSL Management,rm ssl certkey <name>,Permanently removes a cert-key pair (only if not bound to any virtual server),show
netscaler,Citrix NetScaler,SSL Management,stat ssl vserver <name>,"Real-time SSL stats: handshakes/sec, session reuse, cipher breakdown",show
netscaler,Citrix NetScaler,SSL Management,show ssl profile,Lists all SSL profiles and their configured protocol/cipher settings,show
netscaler,Citrix NetScaler,SSL Management,add ssl profile <name> -sslProfileType BackEnd,Creates a back-end SSL profile for re-encryption to back-end servers,show
netscaler,Citrix NetScaler,SSL Management,bind ssl profile <name> -cipherName <group>,Binds a cipher group to an SSL profile,show
netscaler,Citrix NetScaler,SSL Management,show ssl ocspResponder,Lists all configured OCSP responders for certificate revocation checking,show
netscaler,Citrix NetScaler,High Availability,show ha node,HA state: which node is Primary/Secondary and sync status,show
netscaler,Citrix NetScaler,High Availability,show ha node <node-id>,"Detailed HA info for a specific node: IP, state, health, last failover reason",show
netscaler,Citrix NetScaler,High Availability,add ha node <id> <ip>,Adds a peer node to form an HA pair — use the Secondary NSIP,show
netscaler,Citrix NetScaler,High Availability,force ha failover,"Manually triggers HA failover, promoting Secondary to Primary",show
netscaler,Citrix NetScaler,High Availability,set ha node -haStatus ENABLED,Enables HA participation on the local node,show
netscaler,Citrix NetScaler,High Availability,set ha node -haStatus STAYSECONDARY,Forces local node to remain Secondary permanently,show
netscaler,Citrix NetScaler,High Availability,sync ha files all,Manually synchronises all config files from Primary to Secondary,show
netscaler,Citrix NetScaler,High Availability,show ha sync,Displays current HA synchronisation status,show
netscaler,Citrix NetScaler,High Availability,add clusternode <id> -ip <ip> -backplane <interface>,Adds a node to a NetScaler cluster,show
netscaler,Citrix NetScaler,High Availability,join cluster -clip <cluster-ip> -password <pass>,Joins the local appliance to an existing cluster,show
netscaler,Citrix NetScaler,High Availability,show cluster,"Displays cluster topology, node states, and health",show
netscaler,Citrix NetScaler,Networking,add ns ip <ip> <mask> -type <SNIP|VIP|MIP|NSIP>,Adds a new IP address of the specified type,show
netscaler,Citrix NetScaler,Networking,add route <network> <mask> <gateway>,Adds a static route to the routing table,show
netscaler,Citrix NetScaler,Networking,clear arp,Flushes the entire ARP cache,show
netscaler,Citrix NetScaler,Networking,send arp -all,Forces gratuitous ARP for all IPs — use after a failover,show
netscaler,Citrix NetScaler,Networking,add vlan <id>,Creates a new VLAN object,show
netscaler,Citrix NetScaler,Networking,bind vlan <id> -ifnum <interface>,Binds a physical interface to a VLAN for tagged traffic,show
netscaler,Citrix NetScaler,Networking,add channel <name> -ifnum <num1> <num2>,Creates a Link Aggregation (LA) channel,show
netscaler,Citrix NetScaler,Networking,set ns config -usip ON,Enables Use Source IP mode globally,show
netscaler,Citrix NetScaler,Rewrite & Responder,add rewrite action <name> insert_http_header X-Forwarded-For CLIENT.IP.SRC,Inserts X-Forwarded-For header with client source IP,show
netscaler,Citrix NetScaler,Rewrite & Responder,add rewrite policy <name> <rule> <action>,Creates a rewrite policy applying an action when rule matches,show
netscaler,Citrix NetScaler,Rewrite & Responder,bind rewrite global <policy> <priority>,Binds a rewrite policy globally to all traffic,show
netscaler,Citrix NetScaler,Rewrite & Responder,add responder action <name> respondwith 403,Creates a responder action returning HTTP 403 Forbidden,show
netscaler,Citrix NetScaler,Rewrite & Responder,add responder policy <name> HTTP.REQ.URL.CONTAINS('/admin') DROP,Drops requests to URLs containing /admin,show
netscaler,Citrix NetScaler,Rewrite & Responder,bind responder global <policy> <priority>,Binds a responder policy globally to all traffic,show
netscaler,Citrix NetScaler,Rewrite & Responder,show rewrite policy,Lists all configured rewrite policies,show
netscaler,Citrix NetScaler,Rewrite & Responder,show responder policy,Lists all configured responder policies,show
netscaler,Citrix NetScaler,Rewrite & Responder,"add rewrite action <name> replace HTTP.RES.HEADER(""Server"") ""\""\""""",Strips the Server response header to hide backend identity,show
netscaler,Citrix NetScaler,Rewrite & Responder,"add rewrite action <name> insert_http_header HSTS '""max-age=31536000; includeSubDomains""'",Inserts HTTP Strict Transport Security header,show
netscaler,Citrix NetScaler,AppFW,show appfw profile,Lists all Application Firewall profiles,show
netscaler,Citrix NetScaler,AppFW,show appfw policy,Lists all AppFW policies and their bound profiles,show
netscaler,Citrix NetScaler,AppFW,stat appfw,"Global AppFW statistics: violations blocked, requests inspected",show
netscaler,Citrix NetScaler,AppFW,add appfw profile <name> -defaults advanced,Creates an AppFW profile with advanced (strict) default settings,show
netscaler,Citrix NetScaler,AppFW,set appfw profile <name> -startURLAction block log stats,Configures Start URL check actions: block violations and log them,show
netscaler,Citrix NetScaler,AppFW,set appfw profile <name> -sqlInjectionAction block log,Enables SQL injection protection with block and log actions,show
netscaler,Citrix NetScaler,AppFW,set appfw profile <name> -crossSiteScriptingAction block log,Enables XSS protection with block and log actions,show
netscaler,Citrix NetScaler,AppFW,add appfw policy <name> <rule> <profile>,Creates an AppFW policy binding a rule expression to a profile,show
netscaler,Citrix NetScaler,AppFW,bind appfw global <policy> <priority>,Binds an AppFW policy globally,show
netscaler,Citrix NetScaler,AppFW,show appfw learningdata <profile> startURL,Shows learned URL patterns for the Start URL check of a profile,show
netscaler,Citrix NetScaler,AppFW,export appfw learningdata <profile> -exportformat CEF,Exports AppFW learning data in CEF format for analysis,show
netscaler,Citrix NetScaler,Rate Limiting,add stream identifier <name> HTTP.REQ.URL -type REQUEST -interval 1 -sampleCount 1,Creates a stream identifier that tracks rate by URL per second,show
netscaler,Citrix NetScaler,Rate Limiting,set stream identifier <name> -selectorName <selector> -interval <secs>,Sets the selector and polling interval for a stream identifier,show
netscaler,Citrix NetScaler,Rate Limiting,add ns limitIdentifier <name> -threshold <n> -timeSlice 1000 -mode REQUEST_RATE,Creates a rate limit identifier: max N requests per second,show
netscaler,Citrix NetScaler,Rate Limiting,"add responder policy <name> sys.check_limit(""<limitID>"") DROP",Creates a policy that drops requests exceeding the rate limit,show
netscaler,Citrix NetScaler,Rate Limiting,show ns limitIdentifier,Lists all configured rate limit identifiers and current hit counts,show
netscaler,Citrix NetScaler,Rate Limiting,show stream identifier <name>,Shows real-time counters for a stream identifier,show
netscaler,Citrix NetScaler,GSLB,show gslb vserver,"Lists all GSLB virtual servers: name, state, method, bound services",show
